,x,y,n,method,corr,pval,econ,lead,pval_adj,significant
0,nficf_reno_c1,vacancy_rate_three_bedroom_plus_change_lead_5,67,kendall,0.3432303166834934,0.00014378222382122565,vacancy_rate_three_bedroom_plus_change,5,0.09183401371363938,True
2,nficf_build_c0,avg_rent_one_bedroom_change_lead_2,90,kendall,-0.27196610833549145,0.00014932359953437297,avg_rent_one_bedroom_change,2,0.09183401371363938,True
10,nficf_build_c0,vacancy_rate_three_bedroom_plus_change_lead_5,45,kendall,0.3851851860967961,0.0005836503103064658,vacancy_rate_three_bedroom_plus_change,5,0.09620090211695913,True
4,nficf_build_c0,vacancy_rate_total_change_lead_2,90,kendall,-0.2603396142342915,0.00031523134923040834,vacancy_rate_total_change,2,0.09620090211695913,True
6,nficf_build_c0,vacancy_rate_two_bedroom_change_lead_2,90,kendall,-0.26069180749757065,0.00032675155290885544,vacancy_rate_two_bedroom_change,2,0.09620090211695913,True
16,nficf_build_c0,vacancy_rate_three_bedroom_plus_change_lead_2,90,kendall,-0.26479521487194707,0.0007039090398801887,vacancy_rate_three_bedroom_plus_change,2,0.09620090211695913,True
14,nficf_build_c0,vacancy_rate_total_change_lead_3,75,kendall,-0.2703849200187608,0.0006708245151835804,vacancy_rate_total_change,3,0.09620090211695913,True
8,nficf_build_c0,vacancy_rate_one_bedroom_change_lead_3,75,kendall,-0.283600788786262,0.0003984250891989877,vacancy_rate_one_bedroom_change,3,0.09620090211695913,True
12,nficf_build_c2,vacancy_rate_three_bedroom_plus_change_lead_4,76,kendall,-0.29237093762520366,0.0005973728607662292,vacancy_rate_three_bedroom_plus_change,4,0.09620090211695913,True
18,nficf_build_c0,vacancy_rate_total_change_lead_5,45,kendall,0.34670241008568703,0.0009234329442665015,vacancy_rate_total_change,5,0.10383031704496308,False
20,nficf_build_c5,vacancy_rate_total_change_lead_1,48,kendall,0.3339545172728218,0.0009285638109712146,vacancy_rate_total_change,1,0.10383031704496308,False
26,nficf_build_c5,vacancy_rate_three_bedroom_plus_change_lead_1,48,kendall,0.3299905902921221,0.0022353302558515164,vacancy_rate_three_bedroom_plus_change,1,0.19638972962124035,False
28,nficf_build_c5,vacancy_rate_studio_change_lead_1,48,kendall,0.30486649999956317,0.002796960831541931,vacancy_rate_studio_change,1,0.1971430444476397,False
32,nficf_build_c0,vacancy_rate_total_change_lead_4,60,kendall,0.2663335998737233,0.0028717831550332034,vacancy_rate_total_change,4,0.1971430444476397,False
34,nficf_build_c7,avg_rent_total_change_lead_4,48,kendall,-0.2989803700235758,0.002885020162648386,avg_rent_total_change,4,0.1971430444476397,False
30,nficf_build_c4,med_rent_three_bedroom_plus_change_lead_1,43,kendall,-0.3184454942528969,0.0028283293520086185,med_rent_three_bedroom_plus_change,1,0.1971430444476397,False
