,x,y,n,method,corr,pval,econ,lead,pval_adj,significant
0,nficf_reno_c1,vacancy_rate_three_bedroom_plus_change_lead_5,67,spearman,0.4557231747069578,0.00010649331855712984,vacancy_rate_three_bedroom_plus_change,5,0.08829831200769224,True
14,nficf_build_c0,vacancy_rate_three_bedroom_plus_change_lead_2,90,spearman,-0.35598269621123185,0.0005742979642776731,vacancy_rate_three_bedroom_plus_change,2,0.08829831200769224,True
6,nficf_build_c0,vacancy_rate_total_change_lead_2,90,spearman,-0.36788730220206434,0.00036073206365548014,vacancy_rate_total_change,2,0.08829831200769224,True
4,nficf_build_c0,vacancy_rate_two_bedroom_change_lead_2,90,spearman,-0.3750648991044243,0.00027015565279859286,vacancy_rate_two_bedroom_change,2,0.08829831200769224,True
2,nficf_build_c0,avg_rent_one_bedroom_change_lead_2,90,spearman,-0.38338155846833294,0.00019162241714200962,avg_rent_one_bedroom_change,2,0.08829831200769224,True
12,nficf_build_c0,vacancy_rate_one_bedroom_change_lead_3,75,spearman,-0.3897997602604005,0.0005464659281481541,vacancy_rate_one_bedroom_change,3,0.08829831200769224,True
8,nficf_build_c2,vacancy_rate_three_bedroom_plus_change_lead_4,76,spearman,-0.39295395608726386,0.0004459345236307252,vacancy_rate_three_bedroom_plus_change,4,0.08829831200769224,True
10,nficf_build_c0,vacancy_rate_total_change_lead_3,75,spearman,-0.3940151227381323,0.00046949061914869974,vacancy_rate_total_change,3,0.08829831200769224,True
16,nficf_build_c0,vacancy_rate_three_bedroom_plus_change_lead_5,45,spearman,0.4868139518778498,0.0006962260315030341,vacancy_rate_three_bedroom_plus_change,5,0.09265944170821666,True
18,nficf_build_c5,vacancy_rate_total_change_lead_1,48,spearman,0.4698549308484954,0.0007533287943757452,vacancy_rate_total_change,1,0.09265944170821666,True
20,nficf_build_c5,vacancy_rate_three_bedroom_plus_change_lead_1,48,spearman,0.44634590604206736,0.0014733731573348147,vacancy_rate_three_bedroom_plus_change,1,0.13982270809289488,False
24,nficf_build_c0,med_rent_studio_change_lead_2,90,spearman,-0.3291994748206339,0.0015338191983984082,med_rent_studio_change,2,0.13982270809289488,False
22,nficf_build_c7,avg_rent_total_change_lead_4,48,spearman,-0.44581428488047153,0.0014950816070533638,avg_rent_total_change,4,0.13982270809289488,False
26,nficf_reno_c4,med_rent_one_bedroom_change_lead_1,23,spearman,-0.6178942920006589,0.0016784575557408767,med_rent_one_bedroom_change,1,0.13982270809289488,False
32,nficf_build_c0,vacancy_rate_total_change_lead_4,60,spearman,0.391736601939092,0.0019663047991724547,vacancy_rate_total_change,4,0.14226793546953642,False
30,nficf_reno_c5,vacancy_rate_one_bedroom_change_lead_3,12,spearman,-0.7972027972027973,0.0019003677255282703,vacancy_rate_one_bedroom_change,3,0.14226793546953642,False
34,nficf_build_c0,vacancy_rate_total_change_lead_5,45,spearman,0.44266722093594113,0.002327045157804956,vacancy_rate_total_change,5,0.15767012437984984,False
36,nficf_build_c0,vacancy_rate_studio_change_lead_2,90,spearman,-0.31571875272861627,0.002435554766843209,vacancy_rate_studio_change,2,0.15767012437984984,False
