South Granville/Oak — Historical Average Rents by Bedroom Type  
2010 to 2024 Row / Apartment October
,Bachelor,,1 Bedroom,,2 Bedroom,,3 Bedroom +,,Total,,
2010 October,832,a ,"1,041",a ,"1,452",a ,"1,836",a ,"1,083",a ,
2011 October,860,a ,"1,085",a ,"1,529",a ,"1,860",b ,"1,134",a ,
2012 October,872,a ,"1,104",a ,"1,566",a ,"2,040",a ,"1,163",a ,
2013 October,911,a ,"1,140",a ,"1,613",a ,"2,005",b ,"1,196",a ,
2014 October,920,a ,"1,157",a ,"1,647",a ,"2,076",a ,"1,223",a ,
2015 October,980,a ,"1,200",a ,"1,704",a ,"2,166",b ,"1,267",a ,
2016 October,"1,051",a ,"1,295",a ,"1,789",a ,"2,199",c ,"1,359",a ,
2017 October,"1,080",a ,"1,361",a ,"1,901",a ,"2,154",b ,"1,423",a ,
2018 October,"1,190",a ,"1,446",a ,"1,971",a ,"2,370",b ,"1,501",a ,
2019 October,"1,201",a ,"1,493",a ,"2,021",a ,"2,577",c ,"1,543",a ,
2020 October,"1,246",a ,"1,517",a ,"2,045",a ,"2,414",b ,"1,570",a ,
2021 October,"1,299",a ,"1,567",a ,"2,180",a ,"3,082",c ,"1,648",a ,
2022 October,"1,323",a ,"1,618",a ,"2,135",a ,"3,041",d ,"1,671",a ,
2023 October,"1,444",a ,"1,716",a ,"2,261",b ,**,,"1,779",a ,
2024 October,"1,510",a ,"1,816",a ,"2,415",a ,"3,368",b ,"1,895",a ,

Notes
"The following letter codes are used to indicate the reliability of the estimates: a — Excellent, b — Very good, c — Good, d — Poor (Use with Caution))"
** — Data suppressed to protect confidentiality or data not statistically reliable
++ — Change in rent is not statistically significant. This means that the change in rent is not statistically different than zero (0). (Applies only to % Change of Average Rent Tables).
Source,CMHC Rental Market Survey
